body_id,name,countries,jurisdiction,role,url,groups,topics
nz-podiatrists-board,Podiatrists Board,NZ,NZ,professional_regulator,https://podiatristsboard.org.nz/,nz-hpca-authorities,registration;scope;professional-conduct;cultural-safety
nz-privacy,Office of the Privacy Commissioner,NZ,NZ,rights_oversight,https://www.privacy.org.nz/,nz-rights,rights;complaints;mental-health;privacy
nz-psychologists-board,Psychologists Board,NZ,NZ,professional_regulator,https://www.psychologistsboard.org.nz/,nz-hpca-authorities,registration;scope;professional-conduct;cultural-safety
nz-psychotherapists-board,Psychotherapists Board,NZ,NZ,professional_regulator,https://www.pbanz.org.nz/,nz-hpca-authorities,registration;scope;professional-conduct;cultural-safety
nz-qha,Quality Health Authority Limited,NZ,NZ,service_accreditor,https://www.qha.nz/,nz-designated-auditors,service-quality;accreditation
nz-radiation-safety,Office of Radiation Safety - Ministry of Health,NZ,NZ,sector_regulator,https://www.health.govt.nz/regulation-legislation/radiation,nz-sector-regulators,regulation;licensing;safety
nz-resuscitation,New Zealand Resuscitation Council,NZ,NZ,standard_setter,https://www.nzrc.org.nz/,nz-standards-ethics,standards;ethics;accreditation
nz-rnzcgp,Royal New Zealand College of General Practitioners,NZ,NZ,standard_setter,https://www.rnzcgp.org.nz/,nz-standards-ethics,standards;ethics;accreditation
nz-speech,New Zealand Speech-language Therapists Association,NZ,NZ,professional_standard_setter,https://speechtherapy.org.nz/,additional-professional-bodies,clinical-guidance;professional-standards
nz-standards,Standards New Zealand,NZ,NZ,standard_setter,https://www.standards.govt.nz/,nz-standards-ethics,standards;ethics;accreditation
nz-swrb,Social Workers Registration Board,NZ,NZ,professional_regulator,https://swrb.govt.nz/,nz-sector-regulators,regulation;licensing;safety
nz-whaikaha,Whaikaha - Ministry of Disabled People,NZ,NZ,policy_issuer,https://www.whaikaha.govt.nz/,nz-national-policy,policy;service-quality;equity;funding
nz-worksafe,WorkSafe New Zealand,NZ,NZ,sector_regulator,https://www.worksafe.govt.nz/,nz-sector-regulators,regulation;licensing;safety
qld-legislation,QLD official legislation publisher,AU,QLD,legislation_publisher,https://www.legislation.qld.gov.au/,legislation,law;regulations;valid-time
qld-oho,Office of the Health Ombudsman Queensland,AU,QLD,rights_oversight,https://www.oho.qld.gov.au/,au-health-complaints,complaints;unregistered-practitioners;patient-rights
qld-oic,Office of the Information Commissioner Queensland,AU,QLD,sector_regulator,https://www.oic.qld.gov.au/,additional-state-regulators,privacy;information-rights
sa-epa,Environment Protection Authority SA,AU,SA,sector_regulator,https://www.epa.sa.gov.au/,additional-state-regulators,radiation
sa-hcscc,SA Health and Community Services Complaints Commissioner,AU,SA,rights_oversight,https://www.hcscc.sa.gov.au/,au-health-complaints,complaints;unregistered-practitioners;patient-rights
sa-legislation,SA official legislation publisher,AU,SA,legislation_publisher,https://www.legislation.sa.gov.au/,legislation,law;regulations;valid-time
sa-privacy,Privacy Committee of South Australia,AU,SA,sector_regulator,https://www.archives.sa.gov.au/managing-information/privacy-committee,additional-state-regulators,privacy;information-rights
tas-hcc,Health Complaints Commissioner Tasmania,AU,TAS,rights_oversight,https://www.healthcomplaints.tas.gov.au/,au-health-complaints,complaints;unregistered-practitioners;patient-rights
tas-legislation,TAS official legislation publisher,AU,TAS,legislation_publisher,https://www.legislation.tas.gov.au/,legislation,law;regulations;valid-time
tas-ombudsman,Ombudsman Tasmania,AU,TAS,sector_regulator,https://www.ombudsman.tas.gov.au/,additional-state-regulators,privacy;information-rights
vic-hcc,Health Complaints Commissioner Victoria,AU,VIC,rights_oversight,https://hcc.vic.gov.au/,au-health-complaints,complaints;unregistered-practitioners;patient-rights
vic-legislation,VIC official legislation publisher,AU,VIC,legislation_publisher,https://www.legislation.vic.gov.au/,legislation,law;regulations;valid-time
vic-ovic,Office of the Victorian Information Commissioner,AU,VIC,sector_regulator,https://ovic.vic.gov.au/,additional-state-regulators,privacy;information-rights
wa-hadsco,Health and Disability Services Complaints Office WA,AU,WA,rights_oversight,https://www.hadsco.wa.gov.au/,au-health-complaints,complaints;unregistered-practitioners;patient-rights
wa-legislation,WA official legislation publisher,AU,WA,legislation_publisher,https://www.legislation.wa.gov.au/,legislation,law;regulations;valid-time
wa-oic,Office of the Information Commissioner WA,AU,WA,sector_regulator,https://www.wa.gov.au/organisation/office-of-the-information-commissioner,additional-state-regulators,privacy;information-rights
wa-radiological,Radiological Council WA,AU,WA,sector_regulator,https://www.radiologicalcouncil.wa.gov.au/,additional-state-regulators,radiation
